time,x,y,yaw,gyro_bias
106.14,5.36064853730617,-5.088313336276017e-15,-9.491973407443386e-16,0.0
106.16,5.362696790753556,-5.090257533001446e-15,-9.491973407443386e-16,0.0
106.18,5.36475971746145,-5.092215657546729e-15,-9.491973407443386e-16,0.0
106.2,5.366639011584217,-5.093999478530537e-15,-9.491973407443386e-16,0.0
106.22,5.367910488895131,-5.095206361412873e-15,-9.491973407443386e-16,0.0
106.24,5.369914251410745,-5.0971083274641774e-15,-9.491973407443386e-16,0.0
106.26,5.371597035834229,-5.098705621963995e-15,-9.491973407443386e-16,0.0
106.28,5.3743330776339615,-5.101302665564466e-15,-9.491973407443386e-16,0.0
106.3,5.376649583451749,-5.1035014867265285e-15,-9.491973407443386e-16,0.0
106.32,5.378048671708788,-5.1048294975795766e-15,-9.491973407443386e-16,0.0
106.34,5.3799683025289,-5.106651606049238e-15,-9.491973407443386e-16,0.0
106.36,5.3814745298944855,-5.108081313059209e-15,-9.491973407443386e-16,0.0
106.38,5.383211538194067,-5.109730076718022e-15,-9.491973407443386e-16,0.0
106.4,5.384901141186315,-5.111333843385177e-15,-9.491973407443386e-16,0.0
106.42,5.388022454590488,-5.114296585768047e-15,-9.491973407443386e-16,0.0
106.44,5.390051656733286,-5.1162226990458235e-15,-9.491973407443386e-16,0.0
106.46,5.392618775496581,-5.1186594013493185e-15,-9.491973407443386e-16,0.0
106.48,5.394886371965778,-5.120811797887761e-15,-9.491973407443386e-16,0.0
106.5,5.396907534005561,-5.1227302795211365e-15,-9.491973407443386e-16,0.0
106.52,5.399044186061092,-5.124758383970342e-15,-9.491973407443386e-16,0.0
106.54,5.402123052484049,-5.12768083579152e-15,-9.491973407443386e-16,0.0
106.56,5.403385098396589,-5.1288787664156e-15,-9.491973407443386e-16,0.0
106.58,5.405598779496928,-5.130979986629297e-15,-9.491973407443386e-16,0.0
106.6,5.407703855023839,-5.132978118721507e-15,-9.491973407443386e-16,0.0
106.62,5.409110695317029,-5.134313487786655e-15,-9.491973407443386e-16,0.0
106.64,5.4107158572194,-5.13583710319585e-15,-9.491973407443386e-16,0.0
106.66,5.412090353172493,-5.137141771099389e-15,-9.491973407443386e-16,0.0
106.68,5.4140899596185115,-5.139039792220485e-15,-9.491973407443386e-16,0.0
106.7,5.416026408609462,-5.1408778644531825e-15,-9.491973407443386e-16,0.0
106.72,5.41868566817433,-5.143402026560504e-15,-9.491973407443386e-16,0.0
106.74,5.420814135121938,-5.1454223617270345e-15,-9.491973407443386e-16,0.0
106.76,5.423038648111348,-5.147533863541034e-15,-9.491973407443386e-16,0.0
106.78,5.425271729514298,-5.14965349847038e-15,-9.491973407443386e-16,0.0
106.8,5.427567071077591,-5.151832230578358e-15,-9.491973407443386e-16,0.0
106.82,5.429504479702652,-5.153671213693201e-15,-9.491973407443386e-16,0.0
106.84,5.430786380651383,-5.154887990664834e-15,-9.491973407443386e-16,0.0
106.86,5.432927482039643,-5.1569203184088345e-15,-9.491973407443386e-16,0.0
106.88,5.434840463974959,-5.158736115774729e-15,-9.491973407443386e-16,0.0
106.9,5.436342454589692,-5.160161801272056e-15,-9.491973407443386e-16,0.0
106.92,5.438284521329062,-5.162005205856614e-15,-9.491973407443386e-16,0.0
106.94,5.440267108542729,-5.16388707236762e-15,-9.491973407443386e-16,0.0
106.96,5.442495924622368,-5.166002658663422e-15,-9.491973407443386e-16,0.0
106.98,5.444328178225989,-5.167741828911548e-15,-9.491973407443386e-16,0.0
107.0,5.446066389058987,-5.169391734011882e-15,-9.491973407443386e-16,0.0
107.02,5.44791512943253,-5.1711465534581756e-15,-9.491973407443386e-16,0.0
107.04,5.449988981817872,-5.173115048627439e-15,-9.491973407443386e-16,0.0
107.06,5.452271100079206,-5.1752812292123616e-15,-9.491973407443386e-16,0.0
107.08,5.454200646989476,-5.177112750008432e-15,-9.491973407443386e-16,0.0
107.1,5.456373035553794,-5.179174775456746e-15,-9.491973407443386e-16,0.0
107.12,5.458236704677129,-5.180943765232643e-15,-9.491973407443386e-16,0.0
107.14,5.459396200061063,-5.182044355167679e-15,-9.491973407443386e-16,0.0
107.16,5.4616562572582605,-5.18418959544919e-15,-9.491973407443386e-16,0.0
107.18,5.463935343048723,-5.1863528976208245e-15,-9.491973407443386e-16,0.0
107.2,5.466199585654006,-5.188502110680559e-15,-9.491973407443386e-16,0.0
107.22,5.467611260912551,-5.189842069081965e-15,-9.491973407443386e-16,0.0
107.24,5.469908059824753,-5.192022184501652e-15,-9.491973407443386e-16,0.0
107.26,5.471712602027909,-5.193735051162149e-15,-9.491973407443386e-16,0.0
107.28,5.474125981416744,-5.196025824460238e-15,-9.491973407443386e-16,0.0
107.3,5.476618332089093,-5.198391557090634e-15,-9.491973407443386e-16,0.0
107.32,5.478209242823724,-5.199901645329307e-15,-9.491973407443386e-16,0.0
107.34,5.480265623284962,-5.201853556194672e-15,-9.491973407443386e-16,0.0
107.36,5.48237531640499,-5.20385607129399e-15,-9.491973407443386e-16,0.0
107.38,5.484865506623299,-5.206219753227156e-15,-9.491973407443386e-16,0.0
107.4,5.486740776808599,-5.20799975470022e-15,-9.491973407443386e-16,0.0
107.42,5.488552935403525,-5.20971985081953e-15,-9.491973407443386e-16,0.0
107.44,5.490702061205223,-5.211759795315427e-15,-9.491973407443386e-16,0.0
107.46,5.492159885369747,-5.213143558135666e-15,-9.491973407443386e-16,0.0
107.48,5.4945298818614505,-5.2153931525031645e-15,-9.491973407443386e-16,0.0
107.5,5.496560834056368,-5.217320926925759e-15,-9.491973407443386e-16,0.0
107.52,5.498235768619675,-5.218910770359171e-15,-9.491973407443386e-16,0.0
107.54,5.500557698297277,-5.221114739834546e-15,-9.491973407443386e-16,0.0
107.56,5.503070028812602,-5.2234994372787634e-15,-9.491973407443386e-16,0.0
107.58,5.504291133433144,-5.224658506537352e-15,-9.491973407443386e-16,0.0
107.6,5.506016889416562,-5.226296589527586e-15,-9.491973407443386e-16,0.0
107.62,5.508560486830755,-5.2287109654290626e-15,-9.491973407443386e-16,0.0
107.64,5.510699199394424,-5.230741025707114e-15,-9.491973407443386e-16,0.0
107.66,5.512954182550327,-5.23288144972212e-15,-9.491973407443386e-16,0.0
107.68,5.515640975422688,-5.2354317463716954e-15,-9.491973407443386e-16,0.0
107.7,5.517770941849875,-5.2374535048402566e-15,-9.491973407443386e-16,0.0
107.72,5.520141171513561,-5.239703320533981e-15,-9.491973407443386e-16,0.0
107.74,5.521603019519328,-5.241090902773628e-15,-9.491973407443386e-16,0.0
107.76,5.523739364754116,-5.2431187159894005e-15,-9.491973407443386e-16,0.0
107.78,5.5250890022576185,-5.244399788318694e-15,-9.491973407443386e-16,0.0
107.8,5.526709970105853,-5.245938406689671e-15,-9.491973407443386e-16,0.0
107.82,5.528875222820321,-5.247993658808283e-15,-9.491973407443386e-16,0.0
107.84,5.530687597958653,-5.249713960470019e-15,-9.491973407443386e-16,0.0
107.86,5.532225251694831,-5.251173497307385e-15,-9.491973407443386e-16,0.0
107.88,5.534046019373709,-5.252901765146289e-15,-9.491973407443386e-16,0.0
107.9,5.536319007944517,-5.255059279853242e-15,-9.491973407443386e-16,0.0
107.92,5.538417414990769,-5.2570510822413435e-15,-9.491973407443386e-16,0.0
107.94,5.540851264301667,-5.2593612855350206e-15,-9.491973407443386e-16,0.0
107.96,5.542455974232485,-5.26088447193402e-15,-9.491973407443386e-16,0.0
107.98,5.544732794860359,-5.26304562401935e-15,-9.491973407443386e-16,0.0
108.0,5.546786006943337,-5.264994527468497e-15,-9.491973407443386e-16,0.0
108.02,5.54962974055503,-5.2676937918505015e-15,-9.491973407443386e-16,0.0
108.04,5.551349507251409,-5.269326189825405e-15,-9.491973407443386e-16,0.0
108.06,5.553668778215665,-5.271527635657143e-15,-9.491973407443386e-16,0.0
108.08,5.55617708972449,-5.273908518271078e-15,-9.491973407443386e-16,0.0
108.1,5.55868872685985,-5.276292557560877e-15,-9.491973407443386e-16,0.0
108.12,5.560524407481469,-5.2780349807253736e-15,-9.491973407443386e-16,0.0
108.14,5.562961764558228,-5.280348513581078e-15,-9.491973407443386e-16,0.0
108.16,5.564090167340052,-5.2814195905008744e-15,-9.491973407443386e-16,0.0
108.18,5.565703229132746,-5.282950704464955e-15,-9.491973407443386e-16,0.0
108.2,5.567794653021809,-5.284935878458823e-15,-9.491973407443386e-16,0.0
108.22,5.569412775751743,-5.286471796251074e-15,-9.491973407443386e-16,0.0
108.24,5.570387452075087,-5.287396956425278e-15,-9.491973407443386e-16,0.0
108.26,5.572363395752436,-5.289272516909279e-15,-9.491973407443386e-16,0.0
108.28,5.5743325021491295,-5.2911415874646625e-15,-9.491973407443386e-16,0.0
108.3,5.576752631675026,-5.293438767974901e-15,-9.491973407443386e-16,0.0
108.32,5.578560734102539,-5.29515501399089e-15,-9.491973407443386e-16,0.0
108.34,5.580609723511207,-5.297099909288811e-15,-9.491973407443386e-16,0.0
