time,x,y,yaw,bias_z,P_xx,P_yy,P_yaw,P_bias,info_eig_0,info_eig_1,info_eig_2,min_info_eigenvalue
115.0,0.30011235732860014,-0.0006189256743813847,0.00797140036420035,-0.0021250827223386493,2.236412052125108e-06,6.529505969422815e-10,1.618208248811933e-07,2.8354644354482647e-06,162.8576359712558,822.5071127264572,2691.278466527958,162.8576359712558
115.1,0.3001985873334394,-0.0005978443511764906,0.010219101378739456,-0.0025150768256033866,5.886475167228689e-07,6.836690078920468e-10,3.923346493891387e-08,2.891199135351563e-06,196.6325205916629,794.4554535391778,3103.749949754333,196.6325205916629
115.2,0.3008551234380217,-0.0005877154838359311,0.010395023763266176,-0.002485480709413683,4.722628641174249e-07,7.04855704172911e-10,3.207096930826353e-08,2.9303098150824814e-06,195.6568203293476,795.7136085759275,3074.808599142587,195.6568203293476
115.3,0.3018446012237277,-0.0005778856551031174,0.01020004277934006,-0.002345359234762528,4.3499853889495575e-07,7.024906030582414e-10,3.119874089830736e-08,2.9295659474002143e-06,196.563115269911,794.7726066681598,3082.1450490888083,196.563115269911
115.4,0.3018615454448076,-0.0005780370442360362,0.010160043282302257,-0.0023312659972257437,2.3514859198480985e-07,6.778515174325435e-10,1.5868232175654448e-08,2.9276929784553553e-06,195.03155286784286,795.776537771867,3122.3548704430045,195.03155286784286
115.5,0.30189369910586156,-0.0005777446595253864,0.010155683179792183,-0.0023297388125098854,1.6088809493065077e-07,6.665941208011797e-10,1.0640280337658396e-08,2.9270540134602034e-06,195.95433160339954,794.8395422876147,3122.6321466046165,195.95433160339954
115.6,0.3018808686325225,-0.0005778184771308626,0.010160646365405028,-0.0023314906395822954,1.2242286978994823e-07,6.591585055920356e-10,8.00416593477046e-09,2.9267316171389067e-06,194.94997431651294,795.8314596835669,3121.8447296307268,194.94997431651294
115.7,0.30360576308638465,-0.000560260383536269,0.010156037339805336,-0.002262285651706597,3.841747568973528e-07,6.825715007778005e-10,2.972999347480202e-08,2.909318203878641e-06,195.8847709956019,794.9013003563857,3121.78830252635,195.8847709956019
115.8,0.30550566507669985,-0.000540841468797074,0.010156141108167314,-0.0021980749722835904,3.9969789474506585e-07,6.822266508735595e-10,2.986999018762532e-08,2.887425253751372e-06,194.97526005972253,795.829710027673,3121.5407005830366,194.97526005972253
115.9,0.3065665603569543,-0.0005301042387646985,0.010094110440938242,-0.0021075381706081773,3.989783794832147e-07,6.794415409334972e-10,2.9886826940125785e-08,2.866670719543789e-06,195.89887293167362,794.8783045077679,3119.9235129263698,195.89887293167362
116.0,0.307745992448384,-0.0005181545960780349,0.010098490590871808,-0.0020508665119316617,4.002793766906864e-07,6.765792640237908e-10,2.988264988885796e-08,2.84705087041801e-06,195.05572670115546,795.7264884832138,3120.333328940059,195.05572670115546
116.1,0.30771236197482243,-0.0005184568031921897,0.010106415338999327,-0.002054541762338953,2.2396098290765072e-07,6.554847050254285e-10,1.552475391935254e-08,2.8439776126499456e-06,196.3509725557652,794.400483105725,3120.510253107819,196.3509725557652
116.2,0.3076698006464309,-0.0005189709908465321,0.0100900813918475,-0.0020469582956536545,1.557869918266589e-07,6.453838715419051e-10,1.0486608741224454e-08,2.842899046342526e-06,195.06118255342355,795.7226127446067,3120.8706725446855,195.06118255342355
116.3,0.3076493799080482,-0.0005191013308401804,0.01009549699150344,-0.0020494861423446587,1.1930158395878676e-07,6.385413782834875e-10,7.917484957521569e-09,2.842348911308535e-06,195.98766188342506,794.7876496579232,3120.8908730119756,195.98766188342506
116.4,0.3076417527682647,-0.0005191532872964495,0.010097503279640804,-0.002050421641234156,9.674927543113417e-08,6.331350948199704e-10,6.35908938802213e-09,2.842015099683358e-06,195.05814624253634,795.7209077726562,3122.0518502023406,195.05814624253634
116.5,0.3076738190397887,-0.0005187395428348714,0.010106612513032765,-0.002054665024603287,8.130713538606898e-08,6.284888542899848e-10,5.3132663276297936e-09,2.841790993941178e-06,195.98759807161696,794.805539523013,3122.349049622213,195.98759807161696
116.6,0.3076582664482429,-0.0005189874851591488,0.010099947596180677,-0.002051552665434464,7.016379021966063e-08,6.243018811515694e-10,4.563413223468561e-09,2.8416302332579087e-06,195.0073329650121,795.7709890925167,3119.785322662289,195.0073329650121
116.7,0.30904108118021273,-0.0005049566242392272,0.010099527123112982,-0.001994673137495064,3.80865183538705e-07,6.52832522317761e-10,2.97146731838425e-08,2.8284835515157218e-06,195.93024896067436,794.8499259936862,3120.6646005132447,195.93024896067436
116.8,0.3090500014867144,-0.0005048041731848291,0.010108712942884384,-0.0019989199919410844,2.1837790214065897e-07,6.332803683435941e-10,1.5479265403821718e-08,2.8254680490048284e-06,195.02207323277008,795.7679542102568,3120.519756245797,195.02207323277008
116.9,0.3090079563441112,-0.0005052203658919329,0.010111538620760642,-0.002000222466941022,1.5286352782830803e-07,6.236493487334728e-10,1.0464963288220847e-08,2.824405701391684e-06,195.9308478605158,794.8443673382412,3121.693468626179,195.9308478605158
