time,x,y,yaw
29.98,2.9587186813062645e-14,1.5972563281242157e-30,-9.489913062013084e-16
30.0,2.958719118711369e-14,1.5972521771796598e-30,-9.489915748976352e-16
30.02,2.9587195394092716e-14,1.5972481847416134e-30,-9.490024398298788e-16
30.04,2.9587198354846867e-14,1.597245374975227e-30,-9.490109328679904e-16
30.06,2.9587202766091807e-14,1.5972411886307305e-30,-9.490182713747196e-16
30.08,2.958720953600517e-14,1.5972347638930824e-30,-9.490108565040776e-16
30.1,2.958721339375104e-14,1.5972311028594726e-30,-9.490015973226613e-16
30.12,2.9587214021998024e-14,1.59723050665528e-30,-9.489901185339024e-16
30.14,2.958721884241095e-14,1.5972259320623554e-30,-9.490107164118313e-16
30.16,2.9587225125783383e-14,1.5972199690501046e-30,-9.49015403227393e-16
30.18,2.958722557456044e-14,1.5972195431522184e-30,-9.490202313496366e-16
30.2,2.958722555993033e-14,1.5972195570335398e-30,-9.49010195617947e-16
30.22,2.958722635390693e-14,1.5972188035370977e-30,-9.490182228016664e-16
30.24,2.958723159140521e-14,1.5972138330646637e-30,-9.490110141439035e-16
30.26,2.9587227820402055e-14,1.597217411758981e-30,-9.490012467680053e-16
30.28,2.958722891826104e-14,1.5972163698910913e-30,-9.489929415565866e-16
30.3,2.9587229805072215e-14,1.5972155283158373e-30,-9.489813150873707e-16
30.32,2.958723773510727e-14,1.5972080028556422e-30,-9.489853644119236e-16
30.34,2.958724471069867e-14,1.5972013831104338e-30,-9.489879466159311e-16
30.36,2.9587245542586016e-14,1.5972005936599952e-30,-9.489969565012086e-16
30.38,2.958724875479878e-14,1.597197545280772e-30,-9.489954946437538e-16
30.4,2.9587250883521266e-14,1.5971955251223153e-30,-9.490009961393858e-16
30.42,2.9587255536612494e-14,1.5971911093563903e-30,-9.489981629928079e-16
30.44,2.9587256944308085e-14,1.597189773449025e-30,-9.49004259714932e-16
30.46,2.9587261957982584e-14,1.597185015480841e-30,-9.489946290961812e-16
30.48,2.958726028564034e-14,1.5971866025289595e-30,-9.49000120375528e-16
30.5,2.958726572788275e-14,1.597181437830803e-30,-9.490052216478966e-16
30.52,2.958726728042147e-14,1.5971799644487707e-30,-9.490139436118021e-16
30.54,2.958726619553535e-14,1.5971809940171606e-30,-9.490061669978217e-16
30.56,2.9587266544708395e-14,1.597180662657024e-30,-9.489898747080565e-16
30.58,2.958726992266614e-14,1.5971774570320253e-30,-9.48985874132804e-16
30.6,2.95872742567727e-14,1.59717334401919e-30,-9.48982733717362e-16
30.62,2.958727799543388e-14,1.5971697961048955e-30,-9.489826943384039e-16
30.64,2.958728039328998e-14,1.597167520597595e-30,-9.489697626768584e-16
30.66,2.958728647722103e-14,1.5971617471260363e-30,-9.489764740280923e-16
30.68,2.958729046904671e-14,1.597157959017652e-30,-9.48953416757773e-16
30.7,2.9587293127581425e-14,1.5971554361731915e-30,-9.489637466137267e-16
30.72,2.958729561000356e-14,1.597153080448997e-30,-9.489660600224368e-16
30.74,2.958730233400836e-14,1.5971466996147604e-30,-9.489675228971593e-16
30.76,2.958730182529477e-14,1.5971471823612927e-30,-9.489646189701471e-16
30.78,2.958730345696943e-14,1.5971456339740872e-30,-9.48981335223424e-16
30.8,2.958730990156241e-14,1.597139518148791e-30,-9.48993282314584e-16
30.82,2.958731045904342e-14,1.597138989121427e-30,-9.489948702467316e-16
30.84,2.958730987794876e-14,1.597139540577288e-30,-9.489809331133631e-16
30.86,2.9587316361534594e-14,1.5971333878230818e-30,-9.489712949859187e-16
30.88,2.958732070786335e-14,1.5971292632760578e-30,-9.489753368897517e-16
30.9,2.958732516311842e-14,1.5971250353617288e-30,-9.489698761872532e-16
30.92,2.958732606408305e-14,1.597124180368905e-30,-9.489842274617106e-16
30.94,2.95873234798407e-14,1.5971266327676196e-30,-9.489851368022969e-16
30.96,2.958732954532104e-14,1.5971208767015738e-30,-9.489902761180033e-16
30.98,2.958732753956452e-14,1.597122780159937e-30,-9.489930930250748e-16
31.0,2.95873309348816e-14,1.597119557996277e-30,-9.490007328182152e-16
31.02,2.958733168356815e-14,1.5971188474909008e-30,-9.490030997896184e-16
31.04,2.958733440834629e-14,1.5971162616475655e-30,-9.490040271847537e-16
31.06,2.958733392638057e-14,1.597116719039791e-30,-9.490124716301854e-16
31.08,2.958733474935478e-14,1.597115938024846e-30,-9.490112844346602e-16
31.1,2.958733515141189e-14,1.5971155564575273e-30,-9.490161260501487e-16
31.12,2.9587336594763544e-14,1.5971141867034818e-30,-9.490029221294335e-16
31.14,2.9587340230848257e-14,1.597110736026485e-30,-9.49012149280478e-16
31.16,2.958734247668696e-14,1.5971086046988895e-30,-9.490059930253722e-16
31.18,2.9587338623262836e-14,1.5971122616274497e-30,-9.490047011089406e-16
31.2,2.958734403286713e-14,1.5971071278842646e-30,-9.490085203359257e-16
31.22,2.958734581637312e-14,1.597105435333431e-30,-9.490049024617108e-16
31.24,2.958734856802316e-14,1.597102824017157e-30,-9.48997104317113e-16
31.26,2.958735010797799e-14,1.5971013626075995e-30,-9.489957651733776e-16
31.28,2.9587353076465165e-14,1.5970985455176504e-30,-9.48992839741607e-16
31.3,2.958734955828246e-14,1.597101884233516e-30,-9.489869899937516e-16
